,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Particle,Field,Livetime,Realtime,Tier,Area,Average diameter,Perimeter,Orientation,Max circle radius,Area in pixels,Volume of sphere,Equivalent diameter,Class,Total,C,O,Na,Cl,Al,Fe,Cu,Mg,Sr,S,N,Si,K,Ca,Tl,Cr,Pd,Mo,W,F,V,Sc,Ni,Ru,Ba,Rh,P,Mn,B,Field,Area,Average diameter,Volume of sphere
P1,1,11.177,11.177,0,0.202375,0.610106,1.83373,41,0.206926,10,0.215154,0.507614,Unclassified,1,0.7604281421,0.2170448058,0.0158990321,0.00662802,,,,,,,,,,,,,,,,,,,,,,,,,,1,0.202375,0.610106,0.215154
P2,1,5.274,5.274,0,18.962558,5.967875,21.041578,50,1.655407,937,195.145725,4.913642,Unclassified,1,0.5852190855,0.0687623549,,,0.3044332237,0.008189137,0.0333961989,,,,,,,,,,,,,,,,,,,,,,,1,18.962558,5.967875,195.145725
P3,1,11.659,11.659,0,0.141663,0.490353,1.456557,0,0.206926,7,0.126008,0.4247,Unclassified,1,0.8023037911,0.1609873732,0.0153435903,0.0159972258,,,,0.0015353387,0.0038326808,,,,,,,,,,,,,,,,,,,,,1,0.141663,0.490353,0.126008
P4,1,10.587,10.587,0,0.182138,0.569901,1.718812,122,0.206926,9,0.183702,0.481565,Unclassified,1,0.7598553141,0.22667624,0.0058551611,,,,,0.0018074381,,0.0058058467,,,,,,,,,,,,,,,,,,,,1,0.182138,0.569901,0.183702
P5,1,10.906,10.906,0,0.060713,0.335715,0.998125,139,0.146319,3,0.035353,0.278032,Unclassified,1,0.7699135711,0.2225293576,0.0043259182,,,,,0.0009194421,,0.002311711,,,,,,,,,,,,,,,,,,,,1,0.060713,0.335715,0.035353
P6,2,11.461,11.461,0,0.08095,0.362155,1.079384,0,0.146319,4,0.05443,0.321043,Unclassified,1,0.7741848858,0.1961918152,0.0177945867,0.0063225314,,,,0.002171461,,0.0033347199,,,,,,,,,,,,,,,,,,,,2,0.08095,0.362155,0.05443
P7,2,11.557,11.557,0,0.060713,0.335715,0.998125,41,0.146319,3,0.035353,0.278032,Unclassified,1,0.7801837767,0.2058665673,0.0101545422,0.0037951138,,,,,,,,,,,,,,,,,,,,,,,,,,2,0.060713,0.335715,0.035353
P8,3,8.092,8.092,0,0.424988,0.841736,2.569601,13,0.327179,21,0.654755,0.735603,Unclassified,1,0.7501736177,0.1174441329,0.0489380712,0.0829700295,,,,0.0004741486,,,,,,,,,,,,,,,,,,,,,,3,0.424988,0.841736,0.654755
P9,3,10.645,10.645,0,0.08095,0.362155,1.079384,0,0.146319,4,0.05443,0.321043,Unclassified,1,8.5069816E-05,0.6985033275,0.1578145365,,,,,0.0149285444,,0.024805189,0.0932312946,0.0106320382,,,,,,,,,,,,,,,,,,3,0.08095,0.362155,0.05443
P10,4,17.565,17.565,0,89.348657,14.024951,43.901082,17,3.950605,4415,1995.931891,10.665938,Unclassified,1,0.3217388394,0.1602228979,0.0011824828,,0.1388113491,0.0590557761,,0.0237186205,,,,0.2179897383,0.0221617796,0.0358952633,0.0192232529,,,,,,,,,,,,,,,4,89.348657,14.024951,1995.931891
